locus_tag	gene	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)
STnc470	STnc470	283.65	347.11	0	210.25
SL1344_0083		487.74	589.85	137.09	404.89
SL1344_0083A		271.31	597.63	216.06	361.67
SL1344_0084		8.81	22.64	0	10.48
SL1344_0085		0	0	0	0
SL1344_0086	yabF	0	57.63	0	19.21
SL1344_0087	kefC	0	9.84	0	3.28
SL1344_0088	folA	34.74	25.51	0	20.08
SL1344_0089	apaH	49.06	72.04	46.88	55.99
SL1344_0090	apaG	132.42	64.82	52.73	83.32
SL1344_0091	ksgA	101.34	96.73	48.42	82.17
SL1344_0092	pdxAa	25.24	67.95	80.39	57.86
SL1344_0093	surA	168.22	161.52	139.11	156.28
SL1344_0094	imp	179.8	157.91	122.13	153.28
SL1344_0095	djlA	20.49	37.62	24.48	27.53
SL1344_0096	rluA	0	9.27	15.08	8.12
SL1344_0097	hepA	5.73	8.41	10.26	8.13
SL1344_0098	polB	3.54	10.39	4.23	6.05
SL1344_0099		0	0	0	0
SL1344_0099A		0	0	0	0
SL1344_0100		0	0	0	0
SL1344_0101	araD	0	0	0	0
SL1344_0102	araA	0	0	13.23	4.41
SL1344_0103	araB	0	0	0	0
SL1344_0104	araC	9.85	7.23	11.76	9.61
SL1344_0105	yabI	32.54	7.96	0	13.5
SL1344_0106	thiQ	0	0	0	0
SL1344_0107	thiP	0	7.59	0	2.53
SL1344_0108	tbpA	0	12.43	0	4.14
SroA	SroA	186.97	343.21	223.34	251.18
SL1344_0109	yabN	0	7.37	0	2.46
SgrS	SgrS	504.26	528.93	559.32	530.84
SL1344_0109A	sgrT	0	0	0	0
SL1344_0110	leuD	0	40.39	49.28	29.89
SL1344_0111	leuC	17.83	34.91	42.59	31.78
SL1344_0112	leuB	83.89	44.8	9.11	45.93
SL1344_0113	leuA	21.18	15.55	0	12.25
SL1344_0114	leuL	3676.39	2628.36	2889.16	3064.64
SL1344_0115	leuO	17.63	6.47	0	8.03
SL1344_0116	ilvI	15.03	14.71	0	9.91
SL1344_0117	ilvH	16.95	24.88	121.45	54.43
SL1344_0118	fruR	49.72	60.85	0	36.86
SL1344_0119	mraZ	363.33	280.11	455.71	366.38
SL1344_0120	mraW	168	181.78	116.18	155.32
SL1344_0121	ftsL	433.11	535.6	326.75	431.82
SL1344_0122	ftsI	767.95	733.38	157.58	552.97
SL1344_0123	murE	67.14	61.63	46.79	58.52
SL1344_0124	murF	30.63	58.48	51.23	46.78
SL1344_0125	mraY	138.41	152.45	64.3	118.39
SL1344_0126	murD	145.41	190.33	128.39	154.71
SL1344_0127	ftsW	35.96	79.2	103.08	72.75
SL1344_0128	murG	15.6	80.16	93.15	62.97
SL1344_0129	murC	73.33	132.54	26.95	77.61
SL1344_0130	ddlB	81.39	199.21	108.03	129.54
SL1344_0131	ftsQ	90.22	88.33	227.51	135.35
SL1344_0132	ftsA	204.38	159.75	110.26	158.13
SL1344_0133	ftsZ	260.23	270.69	267.68	266.2
SL1344_0134	lpxC	825.67	886.06	520.24	743.99
SL1344_0135	yacA	58.32	28.55	0	28.96
SL1344_0136	secA	52.29	101.63	14.7	56.21
SL1344_0137	mutT	0	15.47	0	5.16
SL1344_0138	yacG	217.81	31.99	0	83.26
SL1344_0139	yacF	22.4	24.67	0	15.69
SL1344_0140	coaE	40.26	9.85	0	16.7
SL1344_0141	guaC	55.84	41	19.06	38.63
SL1344_0142	pilC	6.92	0	0	2.31
SL1344_0143	pilB	0	0	0	0
SL1344_0144	pilA	0	0	0	0
SL1344_0145	nadC	0	8.19	0	2.73
SL1344_0146	ampD	29.56	97.66	70.61	65.94
SL1344_0147	ampE	48.71	64.38	34.91	49.34
SL1344_0148		0	0	0	0
SL1344_0149		5.92	4.35	0	3.42
SL1344_0150	aroP	12.12	22.25	0	11.46
SL1344_0151	pdhR	43.56	207.9	13.01	88.16
SL1344_0152	aceE	249.95	195	111.96	185.64
SL1344_0153	aceF	229.04	216.68	115.75	187.16
SL1344_0154	lpdA	245.4	291.73	321.05	286.06
SL1344_0155		0	0	0	0
SL1344_0156		0	0	0	0
SL1344_0157	yacH	0	3.79	0	1.26
SL1344_0159	acnB	102.52	141.14	172.22	138.63
SL1344_0160		29.64	43.53	0	24.39
SL1344_0161	yacL	114.92	135.01	27.46	92.46
SL1344_0162	kdgT	0	0	0	0
SL1344_0163		0	0	15.64	5.21
SL1344_0164	pdxAb	0	6.21	20.22	8.81
SL1344_0165		141.02	87.61	64.79	97.81
SL1344_0166	speD	20.96	53.86	62.59	45.8
SL1344_0167	speE	96.75	127.87	80.9	101.84
SL1344_0168	yacC	191.82	211.27	114.57	172.55
SL1344_0169	cueO	31.01	18.97	6.17	18.72
SL1344_0170	gcd	34.81	23.01	37.43	31.75
SL1344_0171	hpt	248.37	56.99	37.08	114.15
SL1344_0172	yadF	138.25	147.65	60.05	115.32
SL1344_0173	yadG	26.96	6.6	85.86	39.81
SL1344_0174	yadH	43.22	0	0	14.41
SL1344_0175	stiH	0	0	0	0
SL1344_0176	stiC	0	0	0	0
SL1344_0177	stiB	0	0	0	0
SL1344_0178	stiA	0	0	0	0
SL1344_0179	yadI	18.91	0	0	6.3
SL1344_0180	yadE	6.77	34.8	8.09	16.55
SL1344_0181	panD	43.79	96.46	130.77	90.34
SL1344_0182	panC	38.97	7.15	0	15.37
SL1344_0183	panB	0	0	0	0
SL1344_0184	folK	17.37	38.26	0	18.54
SL1344_0185	pcnB	35.21	56.01	7.01	32.74
SL1344_0186	yadB	17.68	25.97	0	14.55
SL1344_0187	dksA	237.72	322.24	305.81	288.59
SL1344_0188	sfsA	59.09	43.39	42.35	48.28
SL1344_0189	ligT	15.7	46.11	0	20.6
SL1344_0190	hrpB	20.18	17.29	0	12.49
SL1344_0191	mrcB	42.89	65.4	27.59	45.29
SL1344_0192	fhuA	68.42	89.31	45.4	67.71
SL1344_0193	fhuC	10.44	99.65	0	36.7
SL1344_0194	fhuD	56.09	89.23	11.17	52.16
SL1344_0195	fhuB	24.27	20.79	9.66	18.24
SL1344_0196	stfA	29.72	0	0	9.91
SL1344_0197	stfC	0	2.3	0	0.77
SL1344_0198	stfD	0	0	0	0
SL1344_0199	stfE	0	0	21.28	7.09
SL1344_0200	stfF	0	0	0	0
SL1344_0201	stfG	0	0	0	0
SL1344_0202		49.58	0	23.69	24.43
SL1344_0203	hemL	32.5	14.32	69.88	38.9
SL1344_0204	clcA	11.71	17.2	13.99	14.3
SL1344_0205	yadR	314.43	728.13	375.59	472.72
SL1344_0206	yadS	13.36	0	0	4.45
SL1344_0207	btuF	20.8	30.55	0	17.12
SL1344_0208	mtn	35.76	35.01	0	23.59
SL1344_0209	dgt	19.1	42.07	7.6	22.92
SL1344_0210	htrA	192.41	158.4	153.22	168.01
SL1344_0211	cdaR	14.38	21.12	0	11.83
SL1344_0212	yaeH	775.98	601.42	334.72	570.71
SL1344_0213		267.87	178.8	300.59	249.09
SL1344_0214	dapD	10.1	74.14	12.06	32.1
SL1344_0215	glnD	0	18.29	0	6.1
SL1344_0216	map	125.75	161.58	75.1	120.81
SL1344_0217	rpsB	1572.24	1525.18	411.26	1169.56
SL1344_0218	tsf	1075.47	1162.96	572.27	936.9
SL1344_0219	pyrH	172.14	92.69	41.13	101.99
SL1344_0220	frr	492.94	460.65	231.96	395.19
sRNA1	sRNA1	0	0	152.9	50.97
SL1344_0221	dxr	55.65	25.54	16.62	32.6
SL1344_0222	uppS	186.6	241.79	209.79	212.73
SL1344_0223	cdsA	145.63	106.93	150.76	134.44
SL1344_0224	yaeL	190.78	216.89	198.48	202.05
SL1344_0225	yaeT	282.63	311.28	177.04	256.98
SL1344_0226	hlpA	2092.93	2254.72	778.7	1708.78
SL1344_0227	lpxD	373.4	387.41	126.05	295.62
SL1344_0228	fabZ	329.15	563.92	87.37	326.82
SL1344_0229	lpxA	285.08	209.32	252.25	248.89
SL1344_0230	lpxB	86.97	21.29	25.97	44.74
SL1344_0231	rnhB	41.88	92.25	116.73	83.62
SL1344_0232	dnaE	40.62	103.52	34.25	59.46
SL1344_0233	accA	156.17	89.18	0	81.78
SL1344_0234		4.72	10.4	16.91	10.68
SL1344_0235	ldcC	11.66	8.56	0	6.74
SL1344_0236	yaeR	0	0	0	0
SL1344_0237	mesJ	0	5.04	8.21	4.42
SL1344_0238	rof	327.57	432.93	391.29	383.93
SL1344_0239	yaeP	305.33	532.45	319.13	385.64
SL1344_0240	yaeQ	167.93	145.72	72.94	128.87
SL1344_0241	yaeJ	0	57.91	0	19.3
SL1344_0242	cutF	23.74	34.86	56.71	38.44
SL1344_0243	proS	72.64	39.12	11.57	41.11
SL1344_0244	yaeB	11.77	8.64	0	6.8
SL1344_0245	rcsF	20.59	60.49	0	27.03
SL1344_0246	metQ	142.92	134.93	146.34	141.4
SL1344_0247	yaeE	12.74	18.71	76.1	35.85
SL1344_0248	abc	16.14	35.55	0	17.23
SL1344_0249	yaeD	14.7	86.35	0	33.68
tRNA_1	tRNA_1	19034.01	26445.1	18652.13	21377.08
tRNA_2	tRNA_2	7280.22	9587.98	6763.85	7877.35
tRNA_3	tRNA_3	4103.14	9624.01	5718.17	6481.77
SL1344_0250	dkgB	31.08	15.22	0	15.43
SL1344_0251	yafC	0	6.68	0	2.23
SL1344_0252		7.08	0	0	2.36
SL1344_0253	yafD	21.36	31.37	0	17.58
SL1344_0254	yafE	21.61	0	0	7.2
SL1344_0255	dniR	419.97	357.52	312.63	363.37
SL1344_0256	gloB	55.1	16.18	26.33	32.54
SL1344_0257	yafS	0	0	0	0
SL1344_0258	rnhA	142.53	39.25	0	60.59
SL1344_0259	dnaQ	11.38	0	0	3.79
SL1344_0260	sciA	0	5.79	0	1.93
SL1344_0261	sciB	0	0	0	0
SL1344_0262	sciC	0	0	0	0
SL1344_0263	sciD	0	0	0	0
SL1344_0264	sciE	0	0	0	0
SL1344_0265	sciF	9.22	0	0	3.07
SL1344_0266	sciG	0	2.31	0	0.77
SL1344_0267	sciH	0	11.27	0	3.76
SL1344_0268	sciI	0	0	0	0
SL1344_0270	sciJ	18.66	0	0	6.22
SL1344_0271	sciK	0	0	0	0
SL1344_0272		0	37.79	0	12.6
SL1344_0273		0	15.95	0	5.32
SL1344_0274	sciK1	17.16	0	0	5.72
SL1344_0275	sciN	0	0	0	0
SL1344_0276	sciO	0	0	0	0
SL1344_0277	sciP	0	0	0	0
SL1344_0278	sciQ	0	0	0	0
SL1344_0279	sciR	0	0	0	0
SL1344_0280	sciS	0	0	10.28	3.43
SL1344_0281	sciT	0	0	0	0
SL1344_0282	sciU	0	0	23.89	7.96
SL1344_0283	sciV	0	0	0	0
SL1344_0284	vgrS	0	0	4.54	1.51
SL1344_0285	sciW	0	0	0	0
SL1344_0286		4.62	8.48	22.07	11.72
SL1344_0286A		31.64	116.14	0	49.26
SL1344_0286B		18.15	33.31	21.68	24.38
SL1344_0288	sciX	0	68.49	0	22.83
SL1344_0289	sciY	17.05	12.52	0	9.86
IsrA	IsrA	0	0	0	0
SL1344_0291		0	19.83	0	6.61
SL1344_0292		0	0	0	0
SL1344_0293		0	0	0	0
SL1344_0294		0	0	0	0
SL1344_0295	safA	195.01	155.12	562.94	304.35
SL1344_0296	safB	23.34	0	41.82	21.72
SL1344_0297	safC	19.89	9.74	19.8	16.47
SL1344_0298	safD	17.7	26	21.15	21.62
SL1344_0299	ybeJ	10.13	37.21	12.11	19.82
SL1344_0300	sinR	43.93	70.96	115.44	76.78
SL1344_0301		0	0	0	0
SL1344_0302	pagN	682.75	526.8	552.92	587.49
SL1344_0303	sciZ	183.99	225.15	244.19	217.78
SL1344_0304	yafV	21.7	55.75	51.83	43.09
SL1344_0305	fadE	115.75	112.48	105.73	111.32
SL1344_0306	gmhA	158.34	52.85	68.78	93.32
SL1344_0307	yafJ	10.85	15.93	77.75	34.84
SL1344_0308	yafK	11.24	0	0	3.75
SL1344_0309	dbh	39.43	23.16	18.84	27.15
SL1344_0310		43.64	5.34	8.69	19.22
SL1344_0311	prfH	40.65	39.8	32.37	37.61
SL1344_0312	pepD	177.03	121.6	95.5	131.37
SL1344_0313	gpt	36.33	0	43.4	26.58
SL1344_0314	frsA	53.51	14.73	7.99	25.41
SL1344_0315	crl	20.75	121.88	49.57	64.07
SL1344_0316	phoE	39.54	46.46	18.89	34.97
SL1344_0317	proB	113.15	60.93	72.09	82.05
SL1344_0318	proA	73.22	43.99	23.85	47.02
tRNA_4	tRNA_4	693.35	1103.04	276.08	690.82
SL1344_0319		0	0	0	0
SL1344_0320	dhaF	0	0	0	0
SL1344_0322		231.83	113.48	123.08	156.13
SL1344_0323		6.48	0	0	2.16
SL1344_0324	leuC2	0	0	0	0
SL1344_0325	leuD2	0	0	15.88	5.29
SL1344_0326		0	0	0	0
SL1344_0327		0	0	0	0
SL1344_0328		17.24	12.66	0	9.97
SL1344_0329		0	0	0	0
SL1344_0330		0	0	0	0
SL1344_0331	stbE	0	16.12	0	5.37
SL1344_0332	stbD	6.28	4.61	0	3.63
SL1344_0333	stbC	0	2.38	11.62	4.67
SL1344_0334	stbB	0	0	0	0
SL1344_0335	stbA	0	0	0	0
SL1344_0336		87.12	31.99	0	39.7
SL1344_0337		0	97.75	59.63	52.46
SL1344_0338		15.86	0	12.63	9.5
SL1344_0339		55.99	16.44	0	24.15
SL1344_0340		34.1	0	0	11.37
SL1344_0341		0	0	0	0
SL1344_0342		0	9.53	0	3.18
SL1344_0343		0	0	0	0
SL1344_0344		0	0	27.68	9.23
SL1344_0345		0	0	20.46	6.82
SL1344_0346		0	0	0	0
SL1344_0347		0	0	0	0
SL1344_0348		0	0	0	0
SL1344_0349		0	0	0	0
SL1344_0350		0	0	0	0
SL1344_0351		39.84	24.38	7.93	24.05
SL1344_0352	mod	42.49	24.96	30.46	32.64
SL1344_0353	res	11.19	4.11	13.36	9.55
SL1344_0354		164.76	0	0	54.92
SL1344_0355		11.86	30.48	0	14.11
SL1344_0356		8.24	18.15	0	8.79
SL1344_0357		0	0	0	0
SL1344_0358		82.87	121.7	69.29	91.29
SL1344_0359	foxA	0	5.8	4.71	3.5
SL1344_0360	yahN	0	48.33	0	16.11
SL1344_0361	yahO	151.28	66.65	108.42	108.78
SL1344_0362	prpR	0	11.28	0	3.76
SL1344_0363	prpB	0	0	0	0
SL1344_0364	prpC	0	0	0	0
SL1344_0365	prpD	0	25.26	0	8.42
SL1344_0366	prpE	17.65	3.24	5.27	8.72
SL1344_0367	hemB	85.42	94.08	20.41	66.64
SL1344_0368	yaiU	48.18	45.78	20.31	38.09
SL1344_0369	yaiV	0	0	0	0
SL1344_0370	ampH	22.09	5.41	0	9.17
SL1344_0371	sbmA	14.88	10.93	8.89	11.57
SL1344_0372	yaiW	0	44.67	0	14.89
SL1344_0373	yaiY	81.04	99.17	32.27	70.83
SL1344_0374	yaiZ	154.8	113.66	323.59	197.35
SL1344_0375	ddlA	22.82	27.92	9.08	19.94
SL1344_0376		0	0	41.82	13.94
SL1344_0377		0	0	0	0
SL1344_0378	yaiB	281.51	689	149.45	373.32
SL1344_0379	psiF	26	57.27	0	27.76
SL1344_0380	adrA	0	10.99	17.88	9.62
SL1344_0381	proC	82.28	45.31	73.71	67.1
SL1344_0382	yaiI	0	53.71	0	17.9
SL1344_0383	aroL	76.33	56.05	0	44.13
SL1344_0384	yaiA	217.81	191.91	208.14	205.95
SL1344_0385	aroM	73.74	72.19	0	48.64
SL1344_0386	yaiE	0	129.07	174.98	101.35
SL1344_0387	rdgC	27.4	33.53	0	20.31
SL1344_0388	yajF	18.33	13.46	0	10.59
SL1344_0389	araJ	28.4	26.06	0	18.15
SL1344_0390	sbcC	0	1.95	18.99	6.98
SL1344_0391	sbcD	0	5.08	0	1.69
SL1344_0392	phoB	217.37	363.53	562.57	381.16
SL1344_0393	phoR	64.25	70.76	61.4	65.47
SL1344_0394	brnQ	107.24	97.26	22.61	75.7
SL1344_0395	proY	36.44	35.67	0	24.04
SL1344_0396	malZ	0	13.45	27.35	13.6
SL1344_0397	tsaA	497.56	578.44	511.79	529.26
SL1344_0398	yajB	71.6	21.03	17.11	36.58
SL1344_0399	queA	15.64	5.74	9.34	10.24
SL1344_0400	tgt	44.3	97.57	52.91	64.93
SL1344_0401	yajC	400.98	184.01	0	195
SL1344_0402	secD	99.1	69.46	43.05	70.54
SL1344_0403	secF	128.53	125.83	71.65	108.67
SL1344_0404		45.59	33.47	27.23	35.43
SL1344_0405		36.07	26.48	0	20.85
SL1344_0406	yajD	0	35.21	0	11.74
STnc1060	STnc1060	512.02	93.99	0	202
SL1344_0407	tsx	28.92	0	126.68	51.87
SL1344_0408	yajI	0	0	36.88	12.29
SL1344_0409	nrdR	222.37	95.24	66.41	128.01
SL1344_0410	ribD	143.32	121.85	126.15	130.44
SL1344_0411	ribH	212.43	194.97	42.29	149.9
SL1344_0412	nusB	834.01	641.53	166.04	547.2
SL1344_0413	thiL	42.58	43.77	40.69	42.35
SL1344_0414	pgpA	48.47	83.04	0	43.83
SL1344_0415	yajO	8.54	31.36	20.41	20.1
SL1344_0416	dxs	22.34	39.37	0	20.57
SL1344_0417	ispA	83.3	81.55	44.22	69.69
SL1344_0418	xseB	68.76	75.73	0	48.17
SL1344_0419	thiI	22.98	46.41	13.73	27.71
SL1344_0420	phnV	31.32	7.67	0	12.99
SL1344_0421	phnU	0	7.1	0	2.37
SL1344_0422	phnT	7.5	27.54	8.96	14.67
SL1344_0423	phnS	8.81	12.94	10.53	10.76
SL1344_0424	phnR	0	16.99	27.65	14.88
SL1344_0425	phnW	0	0	27.03	9.01
SL1344_0426	phnX	0	15.05	0	5.02
SL1344_0427	thiJ	14.1	10.35	0	8.15
SL1344_0428	apbA	45.67	33.53	0	26.4
SL1344_0429	yajQ	65.39	84.02	78.1	75.83
SL1344_0430	yajR	36.6	22.39	0	19.66
SL1344_0430A		0	0	0	0
SL1344_0431		0	12.13	0	4.04
SL1344_0432		0	4.76	7.75	4.17
SL1344_0433	cyoE	177.62	68.64	145.17	130.48
SL1344_0434	cyoD	278.18	111.41	90.63	160.07
SL1344_0435	cyoC	80.78	106.76	77.19	88.25
SL1344_0436	cyoB	171.34	141.15	104.83	139.1
SL1344_0437	cyoA	313.32	262	83.17	219.5
SL1344_0438	ampG	16.92	20.71	0	12.54
SL1344_0439	yajG	26.33	38.67	0	21.67
SL1344_0440	bolA	314.96	154.17	0	156.38
SL1344_0441	tig	435.88	541.26	122.51	366.55
SL1344_0442	clpP	400.65	156.9	207.39	254.98
SL1344_0443	clpX	425.5	374.91	265.87	355.43
SraA	SraA	0	0	0	0
SL1344_0444	lon	311.04	262.12	151.99	241.72
SL1344_0445	hupB	2538.9	2403.23	5736.69	3559.61
SL1344_0446	cypD	75.6	107.75	79.68	87.68
SL1344_0447	comE1	0	0	79.72	26.57
SL1344_0448	ybaW	0	0	49.94	16.65
SL1344_0449	ybaX	23.94	52.74	42.9	39.86
SL1344_0450	ybaE	0	3.59	11.69	5.1
SL1344_0451	cof	10.17	0	0	3.39
STnc930	STnc930	0	0	0	0
SL1344_0452		55.21	28.95	56.52	46.89
SL1344_0453	ybaO	54.5	26.68	21.7	34.29
SL1344_0454	mdlA	18.78	10.34	11.22	13.45
SL1344_0455	mdlB	0	10.29	0	3.43
SL1344_0456	glnK	0	0	117.62	39.21
SL1344_0457	amtB	0	9.5	23.19	10.9
SL1344_0458	tesB	0	7.1	11.56	6.22
SL1344_0459	ybaY	87.74	32.21	52.4	57.45
SL1344_0460	ybaZ	0	19.64	63.91	27.85
SL1344_0461	ylaB	10.74	3.94	12.82	9.17
SL1344_0462	rpmE2	2784.09	2514.15	879.19	2059.14
SL1344_0463	rpmJa	2907.08	3091.38	2035.64	2678.03
SL1344_0464	ylaC	0	64.99	0	21.66
SL1344_0465	maa	45.3	44.35	198.41	96.02
SL1344_0466	hha	534.33	168.14	91.18	264.55
SL1344_0467	ybaJ	177.97	261.35	53.15	164.16
SL1344_0468	acrB	134.75	106.7	56.81	99.42
SL1344_0469	acrA	41.85	81.93	41.65	55.14
SL1344_0470	acrR	76.45	56.13	60.88	64.49
SL1344_0471	aefA	17.32	21.81	8.87	16
SL1344_0472		0	39.2	0	13.07
SL1344_0473	ybaM	0	0	0	0
SL1344_0474	priC	0	23.72	0	7.91
SL1344_0476	apt	30.2	0	18.04	16.08
SL1344_0477	dnaX	38.84	34.86	15.46	29.72
SL1344_0478	ybaB	75.87	74.28	0	50.05
SL1344_0479	recR	13.75	121.17	0	44.98
SL1344_0480	htpG	26.64	19.56	15.91	20.7
SL1344_0481	adk	129.2	85.38	61.73	92.1
SL1344_0482	hemH	8.65	0	0	2.88
SL1344_0483	aes	0	0	0	0
SL1344_0484	gsk	6.38	0	15.24	7.21
SL1344_0485	ybaL	49.64	76.55	71.16	65.78
SL1344_0486	fsr	0	10.02	0	3.34
SL1344_0487	ushA	30.22	40.68	18.05	29.65
SL1344_0488	ybaK	34.74	38.26	165.99	79.66
ChiX	ChiX	28977.44	34758.98	16107.59	26614.67
SL1344_0489	ybaP	0	0	25.03	8.34
SL1344_0490		0	14.77	0	4.92
SL1344_0491	copA	6.65	0	0	2.22
SL1344_0492	cueR	20	0	119.46	46.49
SL1344_0493	ybbJ	18.41	27.03	43.98	29.81
SL1344_0494	ybbK	72.59	19.99	0	30.86
SL1344_0495	ybbL	0	0	0	0
SL1344_0496	ybbM	10.68	7.84	25.52	14.68
SL1344_0497	ybbN	77.94	42.92	23.28	48.05
SL1344_0498	ybbO	32.42	23.8	0	18.74
SL1344_0499	tesA	13.55	29.85	16.19	19.86
SL1344_0500	ybbA	36.39	26.72	0	21.03
SL1344_0501	ybbP	13.79	12.65	16.47	14.3
SL1344_0502		7.34	5.39	0	4.25
SL1344_0503	sfbA	0	0	0	0
SL1344_0504	sfbB	24.57	0	0	8.19
SL1344_0505	sfbC	12.63	0	0	4.21
SL1344_0506	ybbB	15.21	0	63.59	26.27
SL1344_0507	ybbS	0	13.19	0	4.4
SL1344_0508	allA	34.52	12.67	0	15.73
SL1344_0509	allR	10.17	14.94	12.15	12.42
SL1344_0510	gcl	0	0	0	0
SL1344_0511	gip	0	0	25.62	8.54
SL1344_0512	garRa	9.48	0	0	3.16
SL1344_0513		0	0	0	0
SL1344_0515	allP	0	0	0	0
SL1344_0516	allB	6.11	8.98	0	5.03
SL1344_0517	ybbY	6.41	0	0	2.14
SL1344_0518	glxK	0	0	0	0
SL1344_0519	ylbA	0	7.78	0	2.59
SL1344_0520	allC	0	0	8.05	2.68
SL1344_0521	allD	7.93	0	0	2.64
SL1344_0522	fdrA	5	0	5.97	3.66
SL1344_0523	ylbE	0	0	0	0
SL1344_0524	ylbF	0	0	0	0
SL1344_0525	arcC	0	0	0	0
SL1344_0526	purK	124.76	22.9	27.94	58.54
SL1344_0527	purE	32.69	0	0	10.9
SL1344_0528	lpxH	11.52	67.69	0	26.41
SL1344_0529	ppiB	218.95	222.6	281.66	241.07
SL1344_0530	cysS	48.06	39.7	7.18	31.64
SL1344_0531		0	0	12.06	4.02
SL1344_0532		0	0	0	0
SL1344_0533	ybcI	0	0	0	0
SL1344_0534	ybcJ	78.49	115.27	0	64.59
SL1344_0535	folD	115.29	77.6	11.48	68.12
SL1344_0536	fimA	0	0	0	0
SL1344_0537	fimI	0	0	0	0
SL1344_0538	fimC	0	0	0	0
SL1344_0539	fimD	0	0	0	0
SL1344_0540	fimH	8.26	0	0	2.75
SL1344_0541	fimF	0	0	0	0
SL1344_0542	fimZ	0	0	0	0
SL1344_0543	fimY	0	0	0	0
SL1344_0544		0	0	0	0
SL1344_0545	fimW	0	0	0	0
tRNA_5	tRNA_5	0	83.69	0	27.9
SL1344_0546		0	0	0	0
SL1344_0547		5.04	3.7	6.02	4.92
SL1344_0548	gtrBa	0	0	0	0
SL1344_0549	gtrAa	0	0	0	0
SL1344_0550		0	0	0	0
