Locus Tag	Name	FDR (Mouse)	logFC (Mouse)	Fitness (Mouse)	FDR (Pig)	logFC (Pig)	Fitness (Pig)	FDR (Chicken)	logFC (Chicken)	Fitness (Chicken)	FDR (Cattle)	logFC (Cattle)	Fitness (Cattle)
SL1344_0027	bcfG	0.198857525	1.13585271	0	na	na	3	na	na	3	na	na	3
SL1344_0028	bcfH	na	na	3	0.801916307	-0.366014054	0	0.823240134	1.494578221	0	0.042516969	1.553155907	1
SL1344_0029	SL1344_0029	0.912677802	-0.225959594	0	0.001679116	-2.846602324	2	0.472941736	-1.2081086	0	8.83E-08	-3.871894715	2
SL1344_0030	SL1344_0030	0.413580141	0.882459067	0	na	na	3	na	na	3	na	na	3
SL1344_0031	SL1344_0031	0.461502745	0.828434458	0	na	na	3	na	na	3	na	na	3
SL1344_0032	SL1344_0032	0.853182875	0.359704997	0	na	na	3	na	na	3	na	na	3
SL1344_0033	SL1344_0033	0.082788293	1.431366801	0	3.65E-10	-15	2	1.18E-10	-15	2	8.99E-34	-15	2
SL1344_0034	SL1344_0034	0.674378936	0.854093184	0	1.32E-08	-15	2	1.02E-09	-15	2	2.99E-28	-15	2
SL1344_0035	SL1344_0035	0.014588023	1.728888876	1	4.06E-11	-15	2	2.89E-11	-15	2	2.24E-34	-15	2
SL1344_0036	SL1344_0036	0.760019491	-0.632914092	0	1.54E-08	-15	2	0.003998197	-3.140368429	2	8.63E-15	-4.178186804	2
SL1344_0037	SL1344_0037	0.559566538	0.73627622	0	0.124323512	-1.531152969	0	0.570112211	-1.079277879	0	0.000000575	-2.631236776	2
SL1344_0038	SL1344_0038	0.615673887	0.650675774	0	0.000000751	-6.885404596	2	0.069313597	-2.10990032	0	2.45E-26	-15	2
SL1344_0039	SL1344_0039	0.318003595	1.303219863	0	0.000000163	-6.172362281	2	0.003378225	-3.131883908	2	5.44E-10	-3.164894396	2
SL1344_0040	nhaA	0.0000174	-2.437868155	2	0.000105977	-4.257797757	2	0.000230072	-3.969763397	2	1.07E-25	-15	2
SL1344_0041	nhaR	na	na	3	0.610682838	-0.63552843	0	0.906402509	0.519565117	0	0.313961988	-0.786971233	0
SL1344_0042	SL1344_0042	0.295028009	-0.955744497	0	0.425739087	1.159126003	0	0.822273698	-0.614897746	0	2.77E-18	-4.901436455	2
SL1344_0043	SL1344_0043	0.298994105	1.020671639	0	1.39E-08	-15	2	0.005628185	-2.914129702	2	4.50E-31	-15	2
SL1344_0045	yaaY	na	na	3	3.36E-09	-15	2	2.21E-11	-15	2	2.48E-30	-15	2
SL1344_0049	fkpB	0.530292504	-0.671261527	0	0.662149698	0.583395206	0	0.729281807	0.997689992	0	0.111750323	1.253138999	0
SL1344_0051	SL1344_0051	0.686457802	-0.52519988	0	na	na	3	na	na	3	na	na	3
SL1344_0052	rihC	0.758176163	-0.440760191	0	na	na	3	0.756196937	0.927219257	0	0.108088457	1.28034511	0
SL1344_0053	citB2	0.999570635	0.039259816	0	0.146996276	-1.24975051	0	0.586287472	-1.508211086	0	0.000476753	-2.263325376	2
SL1344_0054	citA2	0.009741012	1.769254664	1	0.0000274	-3.588931257	2	0.028001888	-2.438860889	2	0.0000488	-2.033546212	2
SL1344_0055	SL1344_0055	0.934796569	0.213030047	0	0.00000585	-15	2	0.000620505	-3.687327911	2	1.68E-21	-15	2
SL1344_0057	oadG	0.781047924	-0.413603318	0	na	na	3	na	na	3	na	na	3
SL1344_0058	SL1344_0058	0.718765585	0.541379574	0	na	na	3	na	na	3	na	na	3
SL1344_0059	citC2	0.917598564	-0.211538409	0	0.572371013	-0.689393796	0	0.962925452	-0.162975722	0	0.005906356	-1.658911162	2
SL1344_0060	citD2	na	na	3	0.901538777	0.178678582	0	0.935243072	0.414769908	0	0.006453912	-1.459537659	2
SL1344_0061	citE2	0.947386261	-0.217401491	0	na	na	3	na	na	3	na	na	3
SL1344_0062	citF2	0.365622104	0.926080553	0	0.521990498	1.140660167	0	0.503936175	1.410121823	0	0.014354691	1.941892217	1
SL1344_0064	citG2	0.427393113	0.877509283	0	0.297003122	1.569200725	0	0.642869292	2.415699253	0	0.771941706	0.239421827	0
SL1344_0066A	SL1344_0066A	0.653601707	-0.558898351	0	na	na	3	na	na	3	na	na	3
SL1344_0067	carA	6.73E-11	-3.553545939	2	4.20E-11	-15	2	2.70E-09	-7.462391933	2	0.001561218	-2.190620754	2
SL1344_0068	carB	1.23E-17	-4.873176249	2	0.000000301	-15	2	1.54E-10	-15	2	1.52E-25	-6.810866398	2
SL1344_0069	caiF	na	na	3	3.74E-11	-3.736525231	2	0.143150256	-1.858588269	0	1.06E-26	-15	2
SL1344_0071	caiD	0.86244627	-0.301317601	0	0.856358954	-0.246884097	0	1	0.011249515	0	0.085335139	1.062496866	0
SL1344_0072	caiC	0.811067846	-0.38109592	0	na	na	3	na	na	3	na	na	3
SL1344_0073	caiB	0.617350279	-0.59836261	0	0.447723124	-0.890272796	0	0.770560071	0.90346642	0	0.000446754	-1.815381075	2
SL1344_0074	caiA	na	na	3	0.611398437	0.791070213	0	0.925192965	0.472794731	0	0.02037712	1.998538232	1
SL1344_0075	caiT	0.845985611	-0.341055104	0	0.585891931	-0.50849664	0	0.790880577	0.852084401	0	0.009078416	1.919869655	1
SL1344_0076	fixA	0.919377855	0.248680538	0	0.000000497	-15	2	3.80E-09	-8.819830273	2	6.63E-31	-15	2
SL1344_0077	fixB	0.662526812	0.603332526	0	na	na	3	na	na	3	na	na	3
SL1344_0078	fixC	0.780436743	0.933268957	0	0.427453512	-1.047400264	0	0.875404232	0.783114997	0	0.753752179	-0.227781579	0
SL1344_0079	fixX	0.852515496	0.355984559	0	na	na	3	na	na	3	na	na	3
SL1344_0080	yaaU	0.836032566	-0.339947346	0	0.758525639	0.425111209	0	0.680212118	1.088658216	0	0.002228915	2.440558948	1
SL1344_0082	SL1344_0082	0.410458871	0.883081466	0	7.74E-10	-15	2	3.54E-10	-15	2	2.83E-71	-15	2
SL1344_0083	SL1344_0083	0.973153461	0.108078886	0	na	na	3	na	na	3	na	na	3
SL1344_0083A	SL1344_0083A	0.831202435	0.420495741	0	4.79E-24	-5.433749637	2	5.36E-09	-7.922517322	2	1.40E-25	-6.740103374	2
SL1344_0084	SL1344_0084	0.452672742	-0.788892046	0	8.41E-10	-6.76622641	2	5.17E-11	-9.11446863	2	3.31E-34	-15	2
SL1344_0086	yabF	na	na	3	0.79113372	0.362900711	0	0.919646908	0.47501883	0	0.065073889	1.545527385	0
SL1344_0087	kefC	0.917196048	0.32919971	0	0.482027815	1.477514589	0	0.988271495	-0.049910415	0	0.466441848	-0.550407202	0
SL1344_0089	apaH	1.30E-28	-15	2	5.87E-08	-15	2	2.75E-09	-8.107799256	2	2.63E-34	-15	2
SL1344_0090	apaG	0.781047924	-0.431528066	0	na	na	3	na	na	3	na	na	3
SL1344_0091	ksgA	na	na	3	0.000406628	-2.514011383	2	0.001252295	-3.496514508	2	1.25E-10	-3.450739104	2
SL1344_0092	pdxAa	0.850242398	0.484878903	0	0.786549567	0.36713757	0	0.935925125	0.429936325	0	0.045076675	1.5637625	1
SL1344_0093	surA	6.89E-29	-7.23718065	2	0.238886939	-4.917722316	0	9.87E-11	-15	2	5.72E-33	-15	2
SL1344_0095	djlA	0.262286756	-0.997779784	0	0.36868924	-1.060343238	0	1	0.122825968	0	1	-0.001037476	0
SL1344_0096	rluA	na	na	3	0.958885838	0.095468304	0	0.577495309	1.261911758	0	na	na	3
SL1344_0097	hepA	0.120527619	-1.179290745	0	0.0000985	-3.634601038	2	0.575330047	-1.271968368	0	0.144253965	-0.919105456	0
SL1344_0098	polB	0.84420674	-0.515742111	0	0.00000111	-4.901213433	2	0.48766908	-1.20806193	0	0.147840596	0.835838294	0
SL1344_0099	SL1344_0099	0.911756713	0.596418787	0	0.001879368	-3.387107804	2	0.330159904	-1.401201822	0	9.05E-09	-4.346652069	2
SL1344_0100	SL1344_0100	na	na	3	0.0000426	-4.040206322	2	0.694330198	-0.873304986	0	1.73E-15	-4.349667701	2
SL1344_0101	araD	0.851699631	-0.326295099	0	na	na	3	na	na	3	na	na	3
SL1344_0102	araA	0.970323666	-0.082265907	0	na	na	3	na	na	3	na	na	3
SL1344_0103	araB	0.698383952	0.591198546	0	0.650776392	0.566212566	0	0.802610782	-0.653468803	0	0.022959488	1.42148697	1
SL1344_0104	araC	0.945291813	0.249614964	0	0.586143422	-0.681784213	0	0.880355942	0.819897584	0	0.205294582	1.040024445	0
SL1344_0105	yabI	1	0.014736809	0	na	na	3	na	na	3	na	na	3
SL1344_0106	thiQ	0.084343531	1.376669009	0	na	na	3	na	na	3	na	na	3
SL1344_0107	thiP	na	na	3	0.134936228	1.670358563	0	0.6584389	1.132926387	0	0.235001437	1.860226923	0
SL1344_0108	tbpA	0.741891541	0.506136234	0	na	na	3	na	na	3	na	na	3
SL1344_0109	yabN	0.981619093	-0.052681791	0	na	na	3	na	na	3	na	na	3
SL1344_0110	leuD	0.603653245	0.686086951	0	na	na	3	na	na	3	na	na	3
SL1344_0111	leuC	0.328257537	-0.923106894	0	0.711933254	0.468159513	0	0.285081416	-1.542249231	0	0.040492065	1.454817773	1
SL1344_0112	leuB	0.77274271	0.50771966	0	0.694481431	0.499800598	0	0.195606244	-1.67452995	0	0.020352463	1.693112094	1
SL1344_0113	leuA	0.689379478	0.597417085	0	0.673153537	0.560195685	0	0.034801031	-2.378865036	2	0.052002194	1.471657547	0
SL1344_0114	leuL	na	na	3	0.831215876	-0.486637243	0	0.0269274	-2.530162825	2	0.109319915	-0.918427341	0
SL1344_0115	leuO	0.63001537	0.640264778	0	na	na	3	na	na	3	na	na	3
SL1344_0116	ilvI	0.914105019	0.256662852	0	0.426131848	1.011563596	0	0.700452852	1.047942281	0	0.548691947	0.480243446	0
SL1344_0118	fruR	4.01E-13	-4.565928912	2	1.17E-18	-6.604301585	2	4.47E-11	-9.978462105	2	1.35E-60	-15	2
SL1344_0120	mraW	na	na	3	1.04E-13	-5.512904394	2	6.67E-10	-8.392002605	2	9.90E-30	-15	2
SL1344_0130	ddlB	na	na	3	0.505222836	0.786596362	0	0.831378065	0.738455619	0	0.766129	-0.177352153	0
SL1344_0136	secA	1.03E-42	-15	2	na	na	3	na	na	3	na	na	3
SL1344_0137	mutT	0.966077247	0.146345355	0	na	na	3	na	na	3	na	na	3
SL1344_0138	yacG	na	na	3	na	na	3	0.965569716	0.349005211	0	1.82E-08	-3.012508346	2
SL1344_0139	yacF	0.786861049	-0.401810143	0	na	na	3	na	na	3	na	na	3
SL1344_0141	guaC	0.546669973	-0.664751086	0	0.54716711	0.751627255	0	0.431454023	1.528581976	0	0.084641606	1.388235735	0
SL1344_0142	pilC	0.619992882	0.664262763	0	0.999125133	-0.014821004	0	0.980274415	0.203638521	0	0.389127635	0.666035501	0
SL1344_0143	pilB	0.936147895	0.248821758	0	0.62910158	0.806591919	0	0.571205721	1.291858243	0	0.012800042	1.963965504	1
SL1344_0144	pilA	0.512318221	0.769848466	0	na	na	3	na	na	3	na	na	3
SL1344_0145	nadC	0.606646958	2.054240315	0	0.449416999	0.88784545	0	0.644670728	1.167919983	0	0.244945711	-0.754622421	0
SL1344_0146	ampD	0.966670617	0.284780034	0	na	na	3	0.731515295	0.981734826	0	0.076132929	1.384915801	0
SL1344_0147	ampE	0.831202435	0.407935307	0	na	na	3	na	na	3	na	na	3
SL1344_0148	SL1344_0148	0.414433308	-0.792724059	0	0.359909134	2.106210061	0	0.649627354	1.15536014	0	0.010244844	2.033455905	1
SL1344_0149	SL1344_0149	0.804380706	0.430291029	0	na	na	3	na	na	3	na	na	3
SL1344_0150	aroP	0.921096609	0.735271146	0	0.513070884	0.917288949	0	0.518335304	1.372357862	0	0.061428647	1.362314263	0
SL1344_0151	pdhR	0.000012	-2.867398629	2	0.393617692	-0.971493572	0	0.891583098	0.652862078	0	0.020684117	1.893142755	1
SL1344_0152	aceE	na	na	3	8.65E-11	-15	2	3.85E-08	-6.457260194	2	9.21E-34	-15	2
SL1344_0153	aceF	na	na	3	5.70E-23	-7.106263654	2	2.87E-11	-15	2	2.26E-34	-15	2
SL1344_0154	lpdA	na	na	3	8.34E-17	-5.323967916	2	6.29E-10	-15	2	1.06E-32	-15	2
SL1344_0155	SL1344_0155	0.949308104	-0.142308654	0	na	na	3	na	na	3	na	na	3
SL1344_0156	SL1344_0156	1	0.012834272	0	0.524432509	0.755514897	0	0.384431473	1.625681342	0	0.383972827	0.542736387	0
SL1344_0157	yacH	0.355963729	-0.869943419	0	na	na	3	na	na	3	na	na	3
SL1344_0159	acnB	0.000000026	-3.413503903	2	3.40E-11	-3.912804567	2	0.000108276	-4.255263368	2	4.33E-25	-3.894902805	2
SL1344_0161	yacL	na	na	3	0.051463862	-1.923083508	0	0.805732479	-0.784688472	0	0.000024	-2.637933787	2
SL1344_0162	kdgT	0.875489144	-0.283449706	0	0.245428162	-1.44205505	0	0.959235674	-0.192483163	0	0.00000355	-1.642190528	2
SL1344_0163	SL1344_0163	0.94212619	-0.225508579	0	0.452214292	0.902354912	0	1	0.186311282	0	0.845078274	0.107510109	0
SL1344_0164	pdxAb	0.022157703	-1.498350032	2	na	na	3	na	na	3	na	na	3
SL1344_0165	SL1344_0165	0.124558231	-1.174827951	0	0.421426164	-0.920996386	0	0.138892754	-1.829416803	0	0.255843337	-0.587964666	0
SL1344_0166	speD	0.86244627	0.348708222	0	0.831215876	-0.285159802	0	0.953587375	-0.17683719	0	0.258812425	0.85891365	0
SL1344_0167	speE	0.973444049	-0.088211785	0	0.385168724	1.185322767	0	0.905086913	-0.366180075	0	0.180692691	-0.773344119	0
SL1344_0169	cueO	0.693623943	-0.524631951	0	0.637997336	0.723753843	0	1	0.0963635	0	0.263392633	-0.716012156	0
SL1344_0170	gcd	0.404575765	0.883808057	0	0.340378993	1.33320655	0	0.667154995	1.119506795	0	0.462877377	0.599797839	0
SL1344_0173	yadG	na	na	3	0.478206355	1.060212062	0	0.936572206	0.404105993	0	0.117720698	1.082361493	0
SL1344_0174	yadH	0.231705334	1.096171777	0	na	na	3	na	na	3	na	na	3
SL1344_0175	stiH	na	na	3	0.521499052	0.883558092	0	0.788072361	0.868497213	0	0.238453266	0.901727447	0
SL1344_0176	stiC	na	na	3	0.125778636	-1.510720847	0	0.774222208	-0.70106118	0	0.035446394	1.704886363	1
SL1344_0177	stiB	0.377949674	0.912850178	0	na	na	3	na	na	3	na	na	3
SL1344_0178	stiA	0.652603338	-0.561455935	0	0.941672284	-0.583201026	0	0.892829569	1.019044428	0	1.60E-14	-4.150879941	2
SL1344_0179	yadI	0.79079916	-0.409380953	0	na	na	3	na	na	3	na	na	3
SL1344_0180	yadE	0.956156007	-0.137152131	0	0.582086629	0.677107214	0	0.591058936	-1.03987022	0	0.00000928	-2.460905727	2
SL1344_0181	panD	0.917196048	0.247568592	0	na	na	3	na	na	3	na	na	3
SL1344_0182	panC	0.199669512	-1.071978533	0	0.405282463	1.971020933	0	0.860314059	0.662702415	0	0.130311586	1.205598048	0
SL1344_0183	panB	na	na	3	0.517998575	1.248928615	0	0.876113557	0.61814078	0	0.094021633	1.251075564	0
SL1344_0184	folK	na	na	3	4.94E-23	-6.792716194	2	1.04E-09	-9.019090582	2	3.42E-14	-4.817020545	2
SL1344_0185	pcnB	0.135829568	-1.351696622	0	0.00000356	-15	2	0.231078674	-1.776692151	0	0.044651746	-1.047072956	2
SL1344_0186	yadB	na	na	3	0.696685559	0.519183516	0	0.99713509	0.152474912	0	0.32262377	0.766340407	0
SL1344_0187	dksA	4.76E-25	-9.144364804	2	0.17128301	-15	0	1.62E-10	-15	2	0.000000967	-15	2
SL1344_0188	sfsA	na	na	3	0.349694877	1.816239418	0	0.84085579	1.041412408	0	9.78E-23	-6.048538686	2
SL1344_0189	ligT	0.414934144	0.880548122	0	0.640182527	0.577055657	0	0.797084569	1.054979275	0	na	na	3
SL1344_0190	hrpB	0.487447865	0.805372118	0	0.31488401	1.871839339	0	0.817423956	0.78940965	0	1.28E-10	-4.264814994	2
SL1344_0191	mrcB	6.78E-24	-10.45406899	2	6.81E-17	-5.661452959	2	0.0292265	-2.462205604	2	8.44E-18	-5.089576192	2
SL1344_0192	fhuA	0.900394291	0.302639075	0	0.24874127	-1.263164267	0	0.001098656	-3.621655795	2	0.402475993	0.744598952	0
SL1344_0193	fhuC	0.832901166	-0.351453373	0	na	na	3	0.685367505	-0.890446684	0	0.022456603	1.669182951	1
SL1344_0194	fhuD	0.905267083	0.419043789	0	0.747421652	-0.437321914	0	0.007646837	-2.867091471	2	na	na	3
SL1344_0195	fhuB	0.561467519	1.233501121	0	na	na	3	na	na	3	na	na	3
SL1344_0196	stfA	0.269089616	-0.989175604	0	0.000324259	-5.729418785	2	0.983383916	-0.084437172	0	na	na	3
SL1344_0197	stfC	0.307476248	1.00343142	0	0.0000246	-4.413347737	2	0.094883105	-2.005604104	0	9.16E-22	-4.12186076	2
SL1344_0198	stfD	0.711250773	-0.495956548	0	0.26298668	1.293799924	0	0.945136713	0.358827002	0	0.162915659	-1.044113175	0
SL1344_0199	stfE	0.496937947	-0.751007986	0	na	na	3	na	na	3	na	na	3
SL1344_0201	stfG	0.27753307	1.025286175	0	na	na	3	na	na	3	na	na	3
SL1344_0202	SL1344_0202	0.632865106	0.885888416	0	0.456652312	1.035081805	0	0.891583098	-0.430861803	0	0.768296734	-0.205681711	0
SL1344_0204	clcA	0.559701149	-0.675730809	0	0.697751717	-0.516644366	0	0.751504387	0.947234194	0	0.00000448	-2.286473875	2
SL1344_0206	yadS	0.746909333	-0.464732716	0	0.180541652	2.15418521	0	0.124981051	-15	0	0.002460939	2.518422656	1
SL1344_0207	btuF	0.871723121	0.33625948	0	na	na	3	na	na	3	na	na	3
SL1344_0208	mtn	na	na	3	4.64E-22	-5.777129701	2	0.00000711	-15	2	1.26E-26	-15	2
SL1344_0209	dgt	0.872892995	0.327954513	0	1.81E-09	-15	2	0.000249898	-3.852972002	2	2.22E-34	-15	2
SL1344_0210	htrA	2.91E-38	-15	2	3.43E-11	-15	2	2.99E-09	-7.701093062	2	8.86E-34	-15	2
SL1344_0211	cdaR	0.894185146	-0.250675334	0	0.480874488	1.630945491	0	0.90249816	-0.419350614	0	0.911339382	-0.095248458	0
SL1344_0212	yaeH	na	na	3	na	na	3	0.973053855	-0.129661916	0	0.762845093	0.256112444	0
SL1344_0213	SL1344_0213	0.798998509	0.441113411	0	0.77156981	0.386058432	0	0.82962219	0.748256827	0	0.010086418	2.065378157	1
SL1344_0214	dapD	0.604322906	0.667929787	0	na	na	3	na	na	3	na	na	3
SL1344_0224	yaeL	na	na	3	0.00000708	-15	2	7.39E-10	-15	2	9.27E-29	-15	2
SL1344_0226	hlpA	na	na	3	0.000000242	-15	2	5.04E-11	-15	2	4.85E-31	-15	2
SL1344_0231	rnhB	1.30E-11	-4.671729268	2	na	na	3	na	na	3	na	na	3
SL1344_0234	SL1344_0234	0.851982717	0.359145788	0	0.791518043	0.397902235	0	0.849514042	0.701678428	0	0.000402186	2.724258675	1
SL1344_0235	ldcC	0.521704298	0.800067498	0	0.616873348	0.753175301	0	0.777835187	0.879524594	0	0.01143468	1.79959585	1
SL1344_0236	yaeR	0.933702679	0.211993192	0	0.583447585	1.362767782	0	0.93181157	0.432314424	0	0.376443992	0.742506805	0
SL1344_0240	yaeQ	na	na	3	0.62084863	0.587497482	0	0.258370276	1.894681365	0	0.077101493	1.353850133	0
SL1344_0241	yaeJ	0.099373337	1.54696379	0	0.323996626	1.232787593	0	0.663361727	1.112019027	0	0.069780701	1.132669176	0
SL1344_0242	cutF	na	na	3	0.17672954	1.505247788	0	0.222700215	2.013087634	0	0.185119381	0.995389697	0
SL1344_0246	metQ	na	na	3	0.654671436	-0.559149095	0	0.294742561	-1.492340194	0	0.19605184	-0.755737719	0
SL1344_0247	yaeE	0.773732355	-0.422971552	0	na	na	3	na	na	3	na	na	3
SL1344_0248	abc	0.091579319	-1.254081427	0	na	na	3	na	na	3	na	na	3
SL1344_0249	yaeD	na	na	3	0.00000109	-7.33432281	2	0.00000017	-15	2	5.45E-23	-15	2
SL1344_0250	dkgB	0.873030481	-0.355514903	0	0.345435373	1.744417797	0	0.704710515	1.255686375	0	0.023587747	1.693068871	1
SL1344_0251	yafC	0.5283218	0.984712311	0	0.278681121	1.849981625	0	0.616403254	1.20871512	0	0.007266943	2.006463237	1
SL1344_0252	SL1344_0252	0.52085139	0.758758589	0	0.329534584	2.012379963	0	0.777426802	0.895327779	0	0.312007364	0.717022492	0
SL1344_0253	yafD	0.917196048	-0.220722111	0	0.817060317	-0.320810737	0	0.968960871	-0.111441633	0	0.768430587	-0.203547056	0
SL1344_0254	yafE	0.804518466	-0.457438085	0	na	na	3	na	na	3	na	na	3
SL1344_0255	dniR	0.701490796	-0.770716241	0	na	na	3	na	na	3	na	na	3
SL1344_0256	gloB	0.216190628	1.110534157	0	na	na	3	na	na	3	na	na	3
SL1344_0257	yafS	0.735925839	-0.461673715	0	na	na	3	na	na	3	na	na	3
SL1344_0260	sciA	0.285666661	1.042362477	0	0.826067883	0.294219565	0	0.781047969	0.866129042	0	0.037248888	1.72208061	1
SL1344_0261	sciB	0.66208591	0.626566054	0	0.415347074	1.180344752	0	0.716006429	1.028033918	0	0.000461597	2.521757893	1
SL1344_0262	sciC	0.409012956	0.907960353	0	0.955107576	-0.087872756	0	1	0.109182927	0	0.168461466	-0.818361963	0
SL1344_0263	sciD	0.068385707	1.43630187	0	na	na	3	na	na	3	na	na	3
SL1344_0264	sciE	0.830854396	0.3903433	0	0.301379495	-0.673512225	0	0.365040973	1.669032129	0	0.527453799	-0.494343596	0
SL1344_0265	sciF	0.830854396	-0.344684475	0	0.000000398	-15	2	0.000000277	-6.246673077	2	2.22E-34	-15	2
SL1344_0266	sciG	0.168069292	-1.140046913	0	0.447607258	-0.895903255	0	0.549267128	-15	0	0.082255926	-1.152725181	0
SL1344_0268	sciI	0.459696504	0.889811294	0	0.728551512	-0.451747851	0	0.279605847	-1.506675664	0	0.111709962	1.082088989	0
SL1344_0270	sciJ	0.634199848	0.639792341	0	3.01E-09	-15	2	2.07E-10	-15	2	1.54E-70	-15	2
SL1344_0271	sciK	0.348058907	-0.866706441	0	na	na	3	na	na	3	na	na	3
SL1344_0272	SL1344_0272	0.464379994	0.808375631	0	na	na	3	na	na	3	na	na	3
SL1344_0273	SL1344_0273	0.189524174	1.169426828	0	na	na	3	na	na	3	na	na	3
SL1344_0275	sciN	0.902772497	0.391970325	0	0.780733273	-0.100434563	0	0.821415069	0.776765923	0	na	na	3
SL1344_0276	sciO	0.519593332	-0.748729699	0	0.706651442	0.497089745	0	0.947995498	0.358199066	0	0.013452531	1.849296417	1
SL1344_0278	sciQ	0.237129709	1.084573874	0	4.51E-09	-15	2	3.43E-09	-7.446718067	2	8.84E-72	-15	2
SL1344_0279	sciR	0.860730193	0.375372353	0	na	na	3	na	na	3	na	na	3
SL1344_0280	sciS	0.702448018	-0.527076163	0	0.199417302	1.976994834	0	0.008496382	-2.866616011	2	2.74E-16	-4.522576867	2
SL1344_0281	sciT	na	na	3	0.908807524	0.164590519	0	0.988748643	0.183308045	0	0.221459646	0.664491146	0
SL1344_0283	sciV	0.345784738	0.937058961	0	0.298922296	-1.125587391	0	0.98426881	-0.069129272	0	0.004987946	-1.668339241	2
SL1344_0284	vgrS	0.396965959	0.974907645	0	0.081680651	-1.842760258	0	0.060592728	-3.187275372	0	0.013810999	-15	2
SL1344_0285	sciW	0.684906474	0.589744579	0	na	na	3	na	na	3	na	na	3
SL1344_0286	SL1344_0286	0.62199045	-0.696946483	0	5.03E-11	-15	2	0.646905909	1.155152164	0	2.81E-22	-6.26224105	2
SL1344_0286A	SL1344_0286A	na	na	3	7.36E-09	-15	2	0.0000756	-4.545657164	2	1.12E-71	-15	2
SL1344_0286B	SL1344_0286B	0.252423215	1.074206659	0	0.177424004	1.611055851	0	0.567767992	1.306044977	0	0.64531529	0.39269731	0
SL1344_0288	sciX	na	na	3	1.35E-08	-4.376844821	2	0.897249961	-0.694006207	0	6.56E-14	-4.196792033	2
SL1344_0292	SL1344_0292	0.087410971	-1.218870208	0	na	na	3	na	na	3	na	na	3
SL1344_0294	SL1344_0294	na	na	3	6.96E-10	-15	2	0.000000044	-6.472542834	2	3.58E-34	-15	2
SL1344_0295	safA	0.616489586	0.661246584	0	0.00000863	-15	2	1.39E-08	-7.405886555	2	8.79E-30	-15	2
SL1344_0296	safB	0.964553016	0.190716149	0	4.22E-10	-15	2	3.46E-10	-15	2	4.97E-48	-15	2
